,Ground_truth,Prediction,trial,trial2
533,He waited . But his commanding officer appeared to,He wraited . But his commanding offecr appeared to,,He waited. But his commanding officer appeared to
534,""" Then we are saved , "" cried the Rev. Edwards .",""" Thon we are sawed , "" cried the Per. indwands .",,"
""Then we are saved,"" cried the Peruvian inhabitants."
535,"Shyly , Morfydd Owen produced a block of","Sngly , Mortyld Owen prodececd a block of",,"
Singly, Mortfield Owen produced a block of"
536,"He saluted , and left the presence , very crestfallen ...","He salated , and left the presence , very crestallen ..",,"
He saluted, and left the premises, very crestfallen."
537,"Time passed . The bus climbed , and went quietly","Time passed . The bus climbed , and went quietly",,"
Time passed. The bus clambered, and went quietly."
538,into orbit . Time passed . The Rev. Edwards' pulpit,into orbit . Time parsed . The Rev. Edwards ' pupit,,"
Into orbit. Time passed. The Rev. Edwards' pulpit."
539,remained empty . And so did the arms of Dai,remained empty . And so did the arms of Dai,,"
Remained empty. And so did the arms of Dave."
540,"Pugh . How could they be otherwise , when his","Pagh . Now could they be otherwise , when his",,"
    Though. Now could they be otherwise, when his"
541,beloved was circling the Poles at three-and-a-,beloved was cireling the Poles at three-and-a-,,"
Beloved was circling the poles at three-and-a-half."
542,"quarter-hour intervals , regular as clockwork ?","quarter-hour intepvals , regalar as clockwork ?",,"
quarter-hour intervals, regular as clockwork?"
543,"Time passed . Everyone said , "" Pity about Megan","Time passed . Everyone said , "" Pity about Megan",," Time passed. Everyone said, ""What a pity about Megan."""
544,"Thomas , isn't it , "" as though they didn't really think","Thomas , isn't it , "" as though they didn't really think",,"
Thomas, isn't it, ""as though they didn't really think""?"
545,"it was a pity at all ; as , indeed , they didn't .","it was a pity at all ; as , indeed , they didn't .",,"
It was a pity at all; as, indeed, they didn't."
546,LOCAL BUS DISAPPEARS announced the,KO LOL AL BUS DISADDEADS announced the,,"
    COOL ALL BUS DISADVANTAGES announced the"
547,Dinas Advertiser . But the London papers ignored,Dinas Advertiser . But the London papers ignored,,"
Dinah's Advertiser. But the London papers ignored."
548,the whole affair . Ifor Evans reported his loss,the whole affair . Ifor livans roported his loss,,"
The whole affair. Ifor Livans reported his loss."
549,"to the police . But they only tut-tutted . "" Lost","to the police . But they only tutatted . "" Lost",,"
To the police. But they only muttered. ""Lost"
550,"a bus , is it . Very careless . "" That was their","a bas , is it . Very careless . "" That was their",,"
A bad, is it? Very careless. ""That was their."
551,"attitude . Now if there 'd been a good old accident ,","altitude . Now if there 'd been a good old accident ,",,"
Altitude. Now, if there'd been a good old-fashioned accident,"
552,they could have measured up the road and,they could have measured up the road and,,"
They could have measured the road and"
553,But losing a bus ! People were always losing,But losing a bus ! People were always losing,,But losing a bus! People were always loosing.
554,"things . You 'd be surprised , they said . So it","things . Yoa'd be sarprised , they said . So it",,"
Things you'd be surprised, they said. So it."
555,"seemed , for a time , that the whole affair would","seemed , for a time , that the whole affair would",,"
It seemed, for a time, that the whole affair would."
556,be written off as one of those unexplained,be written off as one of those unexplained,,"
    Be written off as one of those inexplicable"
557,"mysteries , like the Marie Celeste . Then things","mnysteries , like the Marie leleste . Then things",," Mysteries, like the Mary Celeste. Then things"
558,began to happen ... But what about the voyagers ?,began to happen ... But what about the royagers .,,"
Begun to happen... But what about the voyagers?"
559,"Well , the Rev. Edwards had taken command . "" Our","well , the Pev.Edwards had taken command . "" Our",," Well, the Rev. Edwards had taken command. ""Our"
560,"position , "" he said , "" is somewhat analogous to","position , "" he said , "" is some what analogouas to",,"
Position,"" he said, ""is somewhat analogous to"
561,that of a castaway on a desert island . Now,that of a castaway on a desert island . Now,,"
That of a castaway on a deserted island. Now"
562,what does such a person do ? He signals,what does sach a person do ? He signals,,"
What does such a person do? He signals."
563,his position by lighting bonfires or hoisting a,his position by lighting bonfives or hoisting a,,"
His position by lighting bonfires or hoisting a"
564,flag on a palm tree . And he tries to ensure,Flay on a palm tree . And he fries to ensare,,"
Fly on a palm tree. And he tries to ensnare."
565,""" Can't go lighting bonfires on this bus , """,""" C an't go lighting bonfives on this bus , """,,"
""Can't go lighting bonfires on this bus,"""
566,"the conductor said firmly . "" Contrary to the","the conductor said firmly . "" Contrary to the",,"
The conductor said firmly, ""Contrary to the"
567,"Company's Regulations . "" "" Of course not , "" agreed","Company's Regulations . "" Of course not , "" agreod",,"
Company's Regulations. ""Of course not,"" agreed"
568,"the minister . "" No , we have another way of signalling","the minister . "" No , we have another way of signalling",,"
The minister said, ""No, we have another way of signaling."
569,our position . The driver must sound his horn,our position . The driver must sound his horm,,"
Our position. The driver must sound his horn."
570,"continuously . "" Gave him a look , the driver did .","continoasly . "" Ghave him a look , the driver did .",,"
Continuously. ""Give him a look,"" the driver did."
571,""" Where you think we are ? "" he asked rudely .",""" Where you think we are ? "" he asked radely .",,"
""Where do you think we are?"" he asked eagerly."
572,""" Do as I say , driver . "" Very stern , the reverend",""" Do ap I may , driver . "" very sterm , the reverend",,"
""Do as I may, driver,"" very stern, said the reverend."
573,gentleman was . So the driver peep-peeped as,gentleman was . So the driver peep-peeped af,,"
The gentleman was so the driver beeped."
574,"through empty space . "" Thank you , "" the Rev.","through emply space . "" Thank you , "" the Rev .",,"
""Through empty space,"" the Rev. thanked."
575,"Edwards said courteously . "" Secondly , we must","Edwardp said courtously . "" Secondly , we must",,"
Edward said courteously, ""Secondly, we must"
576,"pool and ration our supplies of food , if any . ""","pool and ration our supplies of food , if any . """,,"
    Pool and ration our supplies of food, if any."
577,"He looked at Price the Provisions , who was nursing","He looed at Price the Provisions , who was nuning",,"
He looked at Price the Provisions, who was running."
578,""" Now , who has any food ? "" he asked hopefully .",""" Now , who has any food ? "" he aszed hopefully .",," ""Now, who has any food?"" he asked hopefully."
579,"Stared back did Price the Provisions , unwinking .","Stared back did Price the Provisiong , unwinking .",,"
Stared back, Price did, the Provisioning unwinking."
580,""" Mr. Price , I think you may be able to help us here , """,""" Mr. Rice , I think you may be able to help us tre ,",,"
""Mr. Rice, I think you may be able to help us tree."""
581,said the Rev. Edwards . Price shook his head .,said the Rer. Edward s . Price shood hir head .,,"
Said the Reverend Edward S. Price shook his head."
582,""" Intended for Plas Newydd , this lot is . Paid for ,",""" Intended for Plar Newyold , thir lot is . Paid for ,",,"
""Intended for Plan Newyork, this lot is paid for."""
583,"too . "" He folded his arms protectively over the basket .","too . "" He folded hir arms protectively over the bas bet .",,"
""He folded his arms protectively over the basket."
584,"Mutinous dog , thought the Rev. Edwards , who hadn't","Mitinons doy , Hought the Per. Edwards , who hadn't",,"
Mentioned day, Thought the Professor Edwards, who hadn't."
585,enjoyed himself so much since reading Treasure,enjoyed himself so much nince reading Treasure,,enjoyed himself so much since reading Treasure
586,"Island . "" What have you got in that basket , Price ? ""","Island . "" What have you got in that basful , Price ! '""",,"
Island. ""What have you got in that basketful, Price!"""
587,"he roared . Quelled , Mr. Price pulled out a grocery","the roared . Auelled , Mr. Price pulled on t a grocery",,"
The roared. Mr. Price auelled on to a grocery."
588,"list , pushed his glasses up on his nose , and","list , pushed his glassep up on his mose , and",,"
Listened, pushed his glasses up on his nose, and"
589,"began to read . "" Six loaves , four pounds butter ,","beyan to read . "" Six loares , four poundg buthr ,",,"
""Begin to read. Six loaves, four pounds of butter,"""
590,"two pounds marge , one tin pineapple , one York ham . ""","two foundg marge , one hir pineapph , one Yort han . """,,"
Two found mounds, one high pineapple, one short hand."
591,"Bertram's face was grim . "" You think it was the Snort ,","Psertram's face was grim . "" You think it was the Smort ,",,"
Percival's face was grim. ""You think it was the Smart,"
592,"don't you ? "" John gave a short laugh . "" I did , "" he","don't you ! "" Jolm gauve a short langh . "" Idid , "" he",,"
""Don't you!"" John gave a short laugh. ""I did,"" he said."
593,"said ; "" but I 'd better stop thinking that now .","said ; "" but I 'd better stop thinking that nowr .",,"
""She said, 'But I'd better stop thinking that now.'"""
594,"Pericles is fitted with an identically similar one . ""","Pericley in fitting with an identically sinilar on . """,,"
Pericles, in fitting with an identically similar one."
595,""" So there you are , my dear . "" Peggy 's eyes filled",""" So there you are , my dear . "" Peggy's eyes filled",," ""So there you are, my dear,"" Peggy's eyes filled."
596,"with tears . "" It 's so unfair , "" she said .","with fears . "" "" It's so unfair , "" she said .",,"
""With fears,"" she said, ""it's so unfair."""
597,""" That little beast Robbie Munyard spent six",""" That little beast Robbie thm yourd spent sit",,"
""That little beast Robbie them yours spent sit"""
598,months ashore while Pericles was refitting in the,montes ashove while Pericl ; was refitting in the,,"
Montezuma's army moved while Pizarro was refitting in the"
